,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
67,KIRACILI BOSTANCI KOCAYOL CAD. HABITAT POINT 4+1 HAVUZLU 150 M2,Bostancı,6.300.000,128,150,4+1,4,1,2,12,9,2,,Klima,6-10 arası,900,15.000
68,GÖZTEPE'DE YATIRIMLIK SATILIK DAİRE,Göztepe,5.750.000,85,90,2+1,2,1,1,15,8,1,,Kombi (Doğalgaz),36-40 arası,,
69,GÖZTEPE BAĞDAT CAD.YÜRÜME MESAFESİN DE SATILIK 4+1 DAİRE!!,Göztepe,6.500.000,130,165,3+1,3,1,3,29,4,2,İkinci El,Kombi (Doğalgaz),6-10 arası,,
70,Planet Emlak'tan Acıbadem Caddesi Betül Sokakta 3+1 Daire,Acıbadem,5.100.000,110,120,3+1,3,1,1,24,6,1,,Merkezi Sistem,31-35 arası,0,0
71,Fenerbahçe Kalamış Wyndham Otel Yakın Yüzme Havuzlu 4+1,Fenerbahçe,11.000.000,160,200,4+1,4,1,2,21,10-20 arası,10,İkinci El,Merkezi Sistem (Isı Payı Ölçer),21-25 arası,0,0
72,SATILIK SUADİYE GENÇ BİNADA MİMARİ NİTELİĞİ YÜKSEK 4+1 DAİRE,Suadiye,20.000.000,200,240,4+1,4,1,2,31,10-20 arası,10,,Kombi (Doğalgaz),21-25 arası,,
73,TURYAP'TAN MERDİVENKÖY DR.ERKİN CADDESİNDE SATILIK 3+1 DAİRE,Merdivenköy,3.500.000,100,130,3+1,3,1,1,31,5,5,İkinci El,Merkezi Sistem,31-35 arası,750,0
74,TURYAP'TAN MERDİVENKÖY'DE NEZİH BİR SOKAKTA SATILIK 3+1 DAİRE,Merdivenköy,5.250.000,90,120,3+1,3,1,2,22,10-20 arası,8,İkinci El,Klima,3,0,0
75,ALKAYA'DAN SUADİYE'DE 3+1 SATILIK DAİRE-BALKONLU-ÇİFT BANYOLU,Suadiye,6.675.000,95,125,3+1,3,1,2,30,9,3,,Klima,3,0,0
76,ALKAYA'DAN KOZYATAĞI'NDA SATILIK BALKONLU DAİRE 110 M² NET 3+1,19 Mayıs,5.800.000,110,135,3+1,3,1,2,31,10-20 arası,7,,Klima,6-10 arası,0,0
77,ALKAYA'DAN GÖZTEPE'DE MARMARAYA YAKIN 85M² NET 2+1 SATILIK DAİRE,Göztepe,3.250.000,85,110,2+1,2,1,2,31,3,2,,Merkezi Sistem,31-35 arası,0,0
78,ALKAYA'DAN SUADİYE ŞAŞKINBAKKAL'DA SATILIK 3+1 DAİRE- 120 M² NET,Suadiye,8.250.000,120,145,3+1,3,1,2,31,9,7,,Klima,31-35 arası,0,0
79,ALKAYA-SUADİYE'DE BAĞDAT'A 250 METRE 2+1 SATILIK BALKONLU DAİRE,Suadiye,5.200.000,60,85,2+1,2,1,1,29,8,7,,Klima,4,0,0
80,ALKAYA / SUADİYE MARMARAYA 3 DK BAĞDAT'A 4 DK SATILIK 1+1 DAİRE,Suadiye,4.100.000,55,70,1+1,1,1,1,31,3,2,,Klima,3,0,0
81,ALKAYA'DAN SUADİYE'DE SİTE İÇİNDE SATILIK 2+1 YENİ DAİRE,Suadiye,5.650.000,80,110,2+1,2,1,1,31,10,1,,Klima,4,0,0
82,ALKAYA'DAN SUADİYE BAĞDAT YAKININDA SATILIK 3+1 LÜKS DAİRE,Suadiye,8.750.000,115,150,3+1,3,1,2,31,8,3,,Klima,21-25 arası,0,0
83,Feneryolu'nda Bağdat Caddesi'ne Çok Yakın Balkonlu 2+1 Daire,Feneryolu,2.650.000,65,85,2+1,2,1,1,24,3,1,İkinci El,Kombi (Doğalgaz),36-40 arası,0,0
84,Moda Caferağa'da Sahile Yakın 3+1 Keyifli Bahçe Katı Daire,Caferağa,4.250.000,100,130,3+1,3,1,1,30,5,Bahçe katı,İkinci El,Merkezi Sistem,31-35 arası,0,0
85,Fenerbahçe Çamlık Parkına Cepheli Katta Tek,Fenerbahçe,15.500.000,135,175,3+1,3,1,2,26,10-20 arası,9,İkinci El,Kombi (Doğalgaz),4,0,0
86,ERENKÖY'DE MİNİBÜSE YAKIN 200M2 3 BALKONLU ULTRA LÜKS,Erenköy,6.495.000,155,200,4+1,4,1,2,31,5,4,İkinci El,Merkezi Sistem,26-30 arası,,
87,F.YOLU BAĞDATA 2. BİNADA 170M2 3 BALKONLU ULTRA LÜKS,Feneryolu,6.950.000,140,170,4+1,4,1,3,30,4,2,İkinci El,Kombi (Doğalgaz),40 ve üzeri,,
88,ALKAYA-SUADİYE'DE GENÇ BİNADA 2+1 85M² NET SATILIK DAİRE,Suadiye,4.950.000,85,100,2+1,2,1,2,24,6,5,,Klima,1,0,0
89,ALKAYA-GÖZTEPE BAĞDAT CAD YAKINI 4+1 ULTRALÜKS SATILIK DAİRE,Göztepe,8.750.000,170,240,4+1,4,1,2,31,7,1,,Klima,26-30 arası,450,0
90,ALKAYA-EMİNALİPAŞA CAD. 2.BİNA 4 YAŞINDA 2+1 80M² SATILIK DAİRE,Suadiye,5.200.000,60,80,2+1,2,1,1,31,7,2,,Klima,4,280,0
91,ALKAYA- SUADİYE ŞAŞKINDA SATILIK 105M² NET 3+1 BALKONLU DAİRE,Suadiye,3.690.000,105,130,3+1,3,1,2,21,5,2,,Kombi (Doğalgaz),31-35 arası,0,0
92,ALKAYA'DAN SUADİYE ŞAŞKINBAKKAL'DA SATILIK 3+1 DAİRE- 120 M² NET,Suadiye,8.250.000,120,145,3+1,3,1,2,31,9,7,,Merkezi Sistem,31-35 arası,0,0
93,ALKAYA-SUADİYE SATILIK DENİZ MANZARALI 3+1 170 M2 İSKANLI LÜKS !,Suadiye,9.495.000,140,170,3+1,3,1,2,26,9,6,,Kombi (Doğalgaz),11-15 arası,0,0
94,ALKAYA'DAN SUADİYE'DE 2001 YAPIMI 115M² NET 3+1 SATILIK DAİRE,Suadiye,8.750.000,115,140,3+1,3,1,2,27,8,3,,Klima,21-25 arası,0,0
95,ALKAYA-BAĞDAT CADDESİNE 4DK GENÇ BİNADA 3+1 SATILIK DAİRE,Suadiye,7.960.000,95,130,3+1,3,1,2,31,9,4,,Combi Boiler (Natural Gas),Between 6-10,0,0
96,ALKAYA-BAĞDATA YAKIN LÜX HAVUZLU SUADİYE'DE 3+1 SATILIK DAİRE,Suadiye,7.275.000,94,130,3+1,3,1,2,31,10-20 arası,12,,Klima,3,500,0
97,ALKAYA-FIRSAT/BAĞDAT CADDESİNE 4.BİNA/HAVUZLU/160M² NET 4+1 SATI,Suadiye,14.750.000,160,200,4+1,4,1,2,26,10,2,,Klima,26-30 arası,600,0
98,ALKAYA- AYŞEKADINDA 100M² 3+1 HAVUZLU SATILIK DAİRE,Suadiye,6.895.000,100,130,3+1,3,1,2,31,10-20 arası,6,,Klima,4,0,0
99,ALKAYA-SUADİYE GENÇ BİNADA HAVUZ 4+1 2 OTOPARK SATILIK DAİRE,Suadiye,11.700.000,145,175,4+1,4,1,3,26,10-20 arası,2,,Klima,6-10 arası,0,0
100,ALKAYA- CADDEYE 8. BİNA 2 TERAS 3+2 SATILIK DENİZ MANZALARI DAİR,Erenköy,11.950.000,175,220,3+2,3,2,3,31,10,10,,Klima,6-10 arası,0,0
101,Merdivenköy Onay Sitesi'nde Kapanmaz Manzaralı Satılık 3+1 Daire,Merdivenköy,3.050.000,90,120,3+1,3,1,1,20,10-20 arası,10,,Merkezi Sistem,21-25 arası,200,0
102,ALKAYA- ERENKÖY'DE GENÇ BİNADA 4+1 140M² NET SATILIK DAİRE,Erenköy,9.500.000,140,180,4+1,4,1,3,19,10-20 arası,12,,Kombi (Doğalgaz),1,0,0
103,ALKAYA-KALAMIŞ MARİNA 3+1 GENİŞ MUTFAKLI SATILIK DAİRE,Fenerbahçe,11.950.000,105,138,3+1,3,1,2,19,9,8,,Klima,0,0,0
104,ERENKÖY'DE 220M2 4 YILLIK GÜVENLİKLİ DENİZ GÖREN LÜKS DUBLEKS,Erenköy,13.700.000,170,220,3+2,3,2,3,17,10-20 arası,,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,,
105,KADIKÖY MERKEZDE GENİŞ KULLANIŞLI 4+1 SATILIK DAİRE,Eğitim,2.800.000,120,150,4+1,4,1,1,16,4,4,İkinci El,Kombi (Doğalgaz),31-35 arası,0,
106,ALKAYA- GÖZTEPEDE 4+1 KATTA TEK GENÇ BİNADA 180M² NET SATILIK,Göztepe,13.000.000,180,220,4+1,4,1,3,15,7,2,,Klima,4,0,0
107,Bostancı Residence & Güvenlikli Site İçinde 3+1 Satılık Daire %,Bostancı,5.990.000,100,135,3+1,3,1,2,21,10-20 arası,4,,Kombi (Doğalgaz),6-10 arası,650,
108,Feneryolu Marmaraya Özgürlük Parkına Yakın 2+1,Feneryolu,6.295.000,70,90,2+1,2,1,2,15,10-20 arası,5,Sıfır,Kombi (Doğalgaz),0,0,0
109,SAHRAYICEDİD'TE YÜKSEK KATTA EBEVEYN BANYOLU 115 M2 İSKANLI,Sahrayı Cedit,7.250.000,100,115,3+1,3,1,2,31,10,10,İkinci El,Kombi (Doğalgaz),4,300,0
