,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
390,FENERYOLU MARMARAY VE MİNİBÜS ARASI EBEVEYNLİ 180M2 3+1,Zühtüpaşa,6.950.000,130,180,3+1,3,1,2,31,9,3,İkinci El,Merkezi Sistem,26-30 arası,0,0
391,BOSTANCI'DA 2000 YAPIMI İSKANLI BALKONLU 6.KAT 190m2 SATILIK 4+1,Bostancı,6.300.000,175,190,4+1,4,1,2,24,10-20 arası,6,,Kombi (Doğalgaz),21-25 arası,300,10.000
392,ERENKÖY HASTAHANE YAKINI 135M2 ASANSÖRLÜ OTOPARKLI BALKONLU,19 Mayıs,4.200.000,105,135,3+1,3,1,1,24,10-20 arası,7,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,
393,KOZYATAĞI ŞAKACI SOKAK'TA KOZZY AVM YAKINI SATILIK 3+1 DAİRE,Kozyatağı,5.550.000,110,125,3+1,3,1,1,31,9,6,,Klima,6-10 arası,0,0
394,"SUADİYE,SAHİLDE,YENİ,EBEVEYN BANYOLU,GENİŞ,210M,4+1",Suadiye,29.500.000,150,210,4+1,4,1,2,15,8,1,Sıfır,Yerden Isıtma,0,,
395,CİTYDEN..CADDEBOSTAN TANZİMATTA YENİ 145M2 3+1 150M2,Caddebostan,8.950.000,110,150,3+1,3,1,3,15,10-20 arası,13,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,,
396,CİTY TEK YETKİLİ KALAMIŞ PARKINDA DEPREM SONRASI 205 M2 3+1,Fenerbahçe,13.200.000,150,205,3+1,3,1,3,32,4,2,İkinci El,Kombi (Doğalgaz),16-20 arası,410,0
397,ÇOK NEZİH BİR LOKASYONDA KADIKÖY BOSTANCIDA KİRACILI SATILIK 3+,Bostancı,6.450.000,103,120,3+1,3,1,1,26,5,5,,Merkezi Sistem,31-35 arası,0,0
398,GÖZTEPE TREN BAĞDAT ARASI 105M2 2 BALKONLU LÜKS,Göztepe,5.175.000,80,105,2+1,2,1,1,24,10,3,İkinci El,Kombi (Doğalgaz),3,,
399,للبيع  شقة TURKEY İSTANBUL EXELLENCE,Acıbadem,5.350.000,110,111,2+1,2,1,2,11,10-20 arası,,Sıfır,,0,,
400,"CADDEBOSTAN,SAHİLDE,BÜYÜK KLÜP KARŞISI,GENİŞ,BALKONLU,190M2,3+1",Caddebostan,12.500.000,140,190,3+1,3,1,1,12,6,4,İkinci El,Merkezi Sistem,36-40 arası,,
401,CİTY'DEN GÖZTEPEDE BAĞDAT CAD. YAKIN DENİZ MANZ. SIFIR 3+1,Caddebostan,12.100.000,100,140,3+1,3,1,2,18,10-20 arası,12,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,500,0
402,GÖZTEPE BAĞDATA VE MARMARAYA ADIM MESAFEDE BALKONLU 154M2 3+1,Göztepe,5.950.000,110,154,3+1,3,1,2,18,4,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,0,0
403,Acıbadem'de İyi Bir Konumda Deniz Manzaralı 2 Balkonlu 3+1,Acıbadem,3.350.000,90,110,3+1,3,1,1,17,9,9,,Merkezi Sistem,31-35 arası,575,0
404,CİTY'DEN MERDİVENKÖY'DE MİNİBÜS CD.'SİN YAKIN YENİ 130M2 3+1,Merdivenköy,5.500.000,90,130,3+1,3,1,2,9,7,7,Sıfır,Kombi (Doğalgaz),0,0,0
405,GÖZTEPE METRO YANINDA PRESTİJLİ YENİ BİNADA 60M2 1+1,Dumlupınar,3.000.000,43,60,1+1,1,1,1,14,20 ve üzeri,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),3,355,8.000
406,KOZYATAĞI HİLTON KARŞISI MANTOLAMALI ÖNÜ AÇIK BALKONLU 154M2 3+1,Sahrayı Cedit,3.890.000,110,154,3+1,3,1,1,13,8,3,İkinci El,Kombi (Doğalgaz),21-25 arası,100,0
407,"Kozyatağı, Bayar Caddesinde Satılık 2 + 1 Daire",19 Mayıs,2.625.000,65,90,2+1,2,1,1,25,5,Giriş Katı,,Kombi (Doğalgaz),26-30 arası,0,0
408,SATILIK ARAKAT DAİRE  ACIBADEM CADDESİ NE YAKIN  3+1  AÇIK OTOPA,Osmanağa,3.800.000,120,140,3+1,3,1,1,5,4,1,İkinci El,Kombi (Doğalgaz),40 ve üzeri,,
409,للبيع  شقة TURKEY İSTANBUL EXELLENCE,Acıbadem,5.350.000,110,111,2+1,2,1,2,11,10-20 arası,,Sıfır,,0,,
410,BAĞDAT CADDESİNE YAKIN BALKONLU SATILIK ÇİFT DAİRE SALON 56M2,Göztepe,9.500.000,205,245,5+1,5,1,2,30,4,2,,Merkezi Sistem (Isı Payı Ölçer),11-15 arası,,
411,"GÖZTEPE'DE,MİNİBÜS CAD.ÜSTÜNDE,GENİŞ,BALKONLU,140M2,3+1",Merdivenköy,7.000.000,100,140,3+1,3,1,2,1,10-20 arası,11,Sıfır,Kombi (Doğalgaz),0,,
412,Fenerbahçe Ayanoğlu ve Bağdat Caddesi Yakın Balkonlu Sıfır 3+1,Fenerbahçe,9.750.000,100,130,3+1,3,1,2,21,9,7,Sıfır,Kombi (Doğalgaz),0,0,0
413,CİTY^DEN ETHEMEFENDİ'DE CADDE İLE MARMARAY ARASI SIFIR 3+1,Erenköy,6.350.000,100,140,3+1,3,1,2,6,8,1,Sıfır,Kombi (Doğalgaz),0,0,0
414,Kadıköy Erenköy'de Prestijli Sitede Satılık 3+1 Daire,Erenköy,7.500.000,75,120,3+1,3,1,1,23,,,,,,,
415,CADDEBOSTAN BAĞDATA ADIM MESAFEDE 2 BALKONLU 3+2 DUBLEKS 280M2,Göztepe,12.750.000,200,280,3+2,3,2,4,30,7,7,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,0,0
416,ÇİFTEHAVUZLAR BAĞDATA 3.BİNA KATTA TEK 3 BANYOLU 200M2 4+1,Göztepe,11.950.000,160,200,4+1,4,1,3,31,10,1,İkinci El,Merkezi Sistem,21-25 arası,0,0
417,Selamiçeşme Bağdat Caddesi 3. Bina Özgürlük Parkına Yakın 4+1,Göztepe,10.950.000,170,200,4+1,4,1,3,27,10,1,İkinci El,Merkezi Sistem,21-25 arası,0,0
418,Kadiköy Zühtüpaşa'da Genç Binada 3 Cepheli 2+1 Daire,Zühtüpaşa,4.150.000,80,105,2+1,2,1,1,14,,5,İkinci El,Kombi (Doğalgaz),6-10 arası,,25.000
419,ÜÇEL SIFIR BOSTANCI IŞIKLAR MARMARAY YAKIN LUX YAPILI 95M2 2+1!,Bostancı,2.850.000,75,95,2+1,2,1,1,24,10-20 arası,10,,Kombi (Doğalgaz),0,0,0
420,ÜÇEL BOSTANCI SAHİLE YAKIN ULTRA LÜX YAPILI FERAH 2+1!!,Bostancı,3.250.000,85,100,2+1,2,1,1,26,4,Giriş Katı,,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,100,0
421,ÜÇEL SAHRAYI CEDİT MİNİBÜS YOLU YAKIN GENİŞ M2'Lİ BALKONLU 1+1!!,Sahrayı Cedit,1.500.000,65,80,1+1,1,1,1,21,3,1,Sıfır,Kombi (Doğalgaz),26-30 arası,100,12.500
422,AYŞEKADINDA AÇIK HAVUZLU GENİŞ 3+1 SATILIK DAİRE,Kozyatağı,11.500.000,100,120,3+1,3,1,2,23,10-20 arası,6,,Klima,4,0,0
423,"ACIBADEM MERKEZDE, KİRACILI, YATIRIMLIK 3+1 ARA KAT DAİRE",Acıbadem,5.100.000,115,130,3+1,3,1,2,33,4,3,,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,600,0
424,CENTURY 21. SAHRA'DAN BAĞDAT'A YÜRÜME MESAFESİNDE 3+1 İÇİ YAPILI,Erenköy,6.795.000,110,145,3+1,3,1,2,23,6,5,,Merkezi Sistem,31-35 arası,0,0
425,CENTURY 21.SAHRA'DAN BAĞDAT'A ÇOK YAKIN YENİ BİNADA 4+2 DUBLEKS,Erenköy,17.950.000,220,260,4+2,4,2,4,31,9,9,,Klima,6-10 arası,0,0
426,CENTURY 21.SAHRA'DAN BAYAR CAD. YAKIN 2005 YAPIMI İÇİ YAPILI 3+1,Kozyatağı,7.450.000,125,160,3+1,3,1,3,28,6,4,,Klima,16-20 arası,0,0
427,CENTURY 21.SAHRA'DAN MARMARAYA YAKIN KATTA TEK 4+1 İÇİ YAPILI,Erenköy,8.595.000,150,185,4+1,4,1,2,30,8,5,,Klima,26-30 arası,0,0
428,KADIKÖY HASANPAŞA DA SATILIK 2+1 YÜKSEK GİRİŞ DAİRE,Hasanpaşa,2.650.000,65,75,,,,,22,2,Yüksek Giriş,,Klima,6-10 arası,0,0
429,"Acıbadem E-5 üzeri ,merkezi konumda , 2+1 daire",Acıbadem,1.950.000,90,98,2+1,2,1,1,15,4,,,Kombi (Doğalgaz),26-30 arası,0,0
430,"ACIBADEM ERDEM SİTESİNDE, ÖN CEPHEDE, 120 m2 SATILIK ÜST KAT",Acıbadem,4.100.000,110,120,3+1,3,1,1,36,4,4,İkinci El,Merkezi Sistem,26-30 arası,0,0
431,"ACIBADEM'DE 4 YILLIK SİTE İÇERSİNDE, K. HAVUZLU, GÜVENLİKLİ 2+1",Acıbadem,5.500.000,85,100,2+1,2,1,1,22,3,1,İkinci El,Kombi (Doğalgaz),4,780,16.000
432,HASANPAŞA GAZHANE KÜLTÜR MERKEZİ SOKAĞNDA 2008 YAPIMI 2+2 DUBLEX,Hasanpaşa,2.500.000,160,170,2+2,2,2,2,36,4,4,İkinci El,Kombi (Doğalgaz),11-15 arası,100,8.000
433,Erenköy Ethemefendi Caddesi Marmaray Yakın 4+1,Erenköy,14.000.000,130,180,4+1,4,1,2,24,10-20 arası,13,İkinci El,Yerden Isıtma,2,0,0
434,Fenerbahçe Yüzme Havuzlu Güvenlikli Binada Teraslı Dubleks,Fenerbahçe,22.000.000,220,270,4+2,4,2,3,22,10,10,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,0,0
435,DİNAMİK'TEN 220M2 DUBLEKS VATANDAŞLIGA UYGUN 40M2 SALONLU,Sahrayı Cedit,8.000.000,175,220,4+1,4,1,2,31,6,6,,Klima,11-15 arası,450,0
436,CİTYDEN..CADDEBOSTANDA DEPREM SONRASI GENÇ BİNADA  230M2 5+1,Caddebostan,14.750.000,185,230,5+1,5,1,3,20,8,4,İkinci El,Kombi (Doğalgaz),16-20 arası,0,0
437,"ERENKÖY ÇOBAN YILDIZI SK. OTOPARKLI, TERASLI 4+1 DUBLEKS DAİRE",Erenköy,7.950.000,130,165,4+1,4,1,2,17,8,8,,Klima,6-10 arası,0,0
438,Fenerbahçe Deniz Manzaralı Güvenlik Kahve Dünyası Süt İş,Fenerbahçe,9.500.000,133,179,3+1,3,1,2,17,10-20 arası,15,Sıfır,Merkezi Sistem (Isı Payı Ölçer),2,0,0
439,"CADDEBOSTAN,SAHİLDE,VATANDAŞLI UYGUN,GENİŞ,SIFIR,BALKON,220M+4+1",Caddebostan,16.500.000,160,220,4+1,4,1,4,15,9,6,Sıfır,Kombi (Doğalgaz),0,,
440,MALTEPE AĞAOĞLU NOUVEL SİTESİ'NDE 3+1 SATILIK DAİRE,Osmanağa,6.000.000,90,130,3+1,3,1,2,14,10-20 arası,3,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,,
441,ENERJİ C.BOSTAN BAĞDATA 2. BİNADA SIFIR 180M2 GÜVENLİKLİ,Caddebostan,18.600.000,140,180,4+1,4,1,2,14,10-20 arası,1,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,,
442,Göztepe Satılık Daire,Göztepe,6.700.000,88,110,3+1,3,1,2,12,9,2,,Kombi (Doğalgaz),0,0,0
443,Göztepe Ihlamur Sokak İstasyon Caddesi Yakın Sıfır 3+1,Göztepe,7.750.000,90,125,3+1,3,1,1,20,7,4,Sıfır,Kombi (Doğalgaz),0,0,0
444,Feneryolu Balkonlu Masrafsız Lüx 3+1 Satılık Güney Daire,Feneryolu,6.600.000,117,140,3+1,3,1,2,24,9,8,İkinci El,Kombi (Doğalgaz),21-25 arası,0,0
445,CİTYDEN..FENERYOLU ÖZGÜRLÜK PARKINA YAKIN 140M2 3+1 YENİ,Feneryolu,7.150.000,105,140,3+1,3,1,2,11,8,7,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,0,0
446,"ERENKÖY,BAĞDAT CD.YAKIN,YATIRIM DEĞERİ YÜKSEK,BALKON,117M2,3+1",Erenköy,5.600.000,90,117,3+1,3,1,1,23,4,1,İkinci El,Merkezi Sistem,31-35 arası,,
447,Kadıköy Bostancı'da Satılık Daire,Bostancı,14.500.000,125,140,3+1,3,1,2,4,,,,,,,
448,KOZZY AVM ÇOK YAKIN 4+1 130 M2 İSKANLI ARAKAT,Kozyatağı,5.250.000,100,130,4+1,4,1,2,24,6,5,,Kombi (Doğalgaz),6-10 arası,275,0
449,ACIBADEM CADDESİ AKILLI EV SİSTEMİ TERASLI 4+1 DUBLEKS DAİRE,Acıbadem,16.900.000,172,207,4+1,4,1,3,9,4,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,0,0
450,ACIBADEMDE BAHÇE KULLANIMLI AKILLI EV SİSTEMİ 4+1 DUBLEKS DAİRE,Acıbadem,18.500.000,130,223,4+1,4,1,3,9,4,Bahçe katı,,Merkezi Sistem (Isı Payı Ölçer),4,0,0
451,"FENERYOLU,ÖZGÜRLÜK PARKI,YAKIN,GENİŞ,ARA KAT,BALKONLU,150M2,3+1",Feneryolu,5.250.000,110,150,3+1,3,1,1,9,8,3,İkinci El,Kombi (Doğalgaz),21-25 arası,,
452,DİNAMİK'TEN FENERYOLU MİNİBÜS CADDESİNDE ÖN CEPHE 110M2 NET 3+1,Feneryolu,6.150.000,110,150,3+1,3,1,2,26,8,1,,Kombi (Doğalgaz),0,0,0
453,KALAMIŞ'TA PANORAMİK DENIZ MANZARALI TERASLI DUBLEKS,Zühtüpaşa,18.750.000,280,350,5+2,5,2,3,22,10-20 arası,10,Sıfır,Yerden Isıtma,4,350,40.000
454,BAHARİYE CADDESİ YENİLENMİŞ FERAH ARA KAT SATILIK DAİRE,Caferağa,5.800.000,56,70,1+1,1,1,1,18,5,3,,Kombi (Doğalgaz),31-35 arası,100,0
455,Kadikoy Inci projesinden 3+1 85 m2 net balkonlu ebebeyn banyolu,Merdivenköy,4.750.000,85,100,3+1,3,1,2,22,10-20 arası,13,,Merkezi Sistem (Isı Payı Ölçer),1,0,0
456,CİTY DEN BAYAR CAD. FULL YAPILI SÜPER 180m2 4+1 DAİRE,19 Mayıs,5.450.000,140,180,4+1,4,1,2,28,9,7,İkinci El,Merkezi Sistem (Isı Payı Ölçer),21-25 arası,0,0
457,CİTY DEN CADDEBOSTAN DA BAĞDAT CAD. 4.BİNADA 4+2 260m2 DUBLEKS,Caddebostan,17.950.000,220,260,4+2,4,2,4,26,9,9,İkinci El,Yerden Isıtma,5,0,0
458,CİTY DEN GÖZTEPE TÜTÜNCÜ DE ÇOK ÇOK KEFİFLİ 170m2 3+1,Göztepe,6.850.000,135,170,3+1,3,1,2,27,6,2,İkinci El,Merkezi Sistem,26-30 arası,0,0
459,CİTY DEN CADDEBOSTAN DA KAPANMAZ DENİZ MANZARALI 330m2 5+2 DUBLE,Caddebostan,24.750.000,250,330,5+2,5,2,3,36,10-20 arası,12,Sıfır,Merkezi Sistem (Isı Payı Ölçer),4,0,0
460,CİTY DEN GÖZTEPE DE YÜZME HAVUZLU PRESTİJLİ BİNADA FIRSAT DAİRE,Göztepe,6.650.000,95,120,3+1,3,1,2,24,10,8,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,0,0
461,CİTY DEN ÇİFTEHAVUZLAR DA MARMARAYA KOMŞU PRESTİJLİ BİNADA 185m2,Göztepe,11.450.000,140,185,4+1,4,1,2,26,9,7,İkinci El,Kombi (Doğalgaz),11-15 arası,0,0
462,"ÖZGÜRLÜK PARKI KARŞ.FENERYOLU, GÜVENLİKLİ,FULL YAPILI,140M2,3+1",Feneryolu,5.450.000,100,140,3+1,3,1,2,31,10-20 arası,11,,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,300,
463,CITY'DEN ŞAKINBAKKAL SAHİLDE  BAHÇE KULLANIMLI 260M2 4+1 DAİRE..,Suadiye,17.500.000,145,260,4+1,4,1,2,24,10-20 arası,Bahçe katı,Yapım Aşamasında,Kombi (Doğalgaz),0,0,0
464,SUADİYE EMİN ALİ PAŞADA MÜSTAKİL BAHÇELİ YENİ BİNADA 140M2 2+1,Feneryolu,4.250.000,100,140,2+1,2,1,1,28,3,Bahçe katı,İkinci El,Kombi (Doğalgaz),3,0,0
465,"FENERYOLUNDA 12 YILLIK, 170M2,3+1+GİYİNME ODALI VE FULL YAPILI",Feneryolu,9.995.000,130,170,3+1,3,1,2,28,9,7,İkinci El,Kombi (Doğalgaz),11-15 arası,800,
466,MERDİVENKÖY OPTİMİST PROJESİNDE ŞEHİR MANZARALI KEYİFLİ 88M2 1+1,Fikirtepe,3.100.000,47,88,1+1,1,1,1,21,20 ve üzeri,18,İkinci El,Kombi (Doğalgaz),1,350,0
467,FENERYOLU ÖZGÜRLÜKTE EMSAL DIŞI 5 YILLIK BALKONLU GENİŞ DAİRE,Feneryolu,5.300.000,85,125,2+1,2,1,2,22,8,5,İkinci El,Kombi (Doğalgaz),5,0,0
468,GÖZTEPE MİNİBÜS ÜSTÜ ÖNÜ AÇIK YENİLENMİŞ 2 BALKONLU 154M2 3+1,Göztepe,5.350.000,110,154,3+1,3,1,1,31,4,3,İkinci El,Kombi (Doğalgaz),31-35 arası,50,0
469,"TEKYETKİLİ, CADDEBOSTAN BAĞDATA İLK PARALELDE 4 YILLIK, 157M2",Caddebostan,11.200.000,112,157,3+1,3,1,2,31,10-20 arası,5,,Merkezi Sistem (Isı Payı Ölçer),4,,
470,CADDEBOSTAN BAĞDAT YAKININDA BALKONLU EBEVEYNLİ SIFIR 155M2,Caddebostan,7.750.000,110,155,3+1,3,1,2,31,10-20 arası,1,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,0,0
471,"CİT'DEN ACİL,FENERYOLU'NDA PARKA KOMŞU İSKANLI 105M2,2+1",Feneryolu,6.300.000,75,105,2+1,2,1,2,24,10-20 arası,5,Sıfır,Kombi (Doğalgaz),0,,
472,ERENKÖY ETHEM EFENDİ BAĞDATA KOMŞU BALKONLU  EBEVEYNLİ 145M2 3+1,Erenköy,6.795.000,105,145,3+1,3,1,2,29,6,5,İkinci El,Merkezi Sistem,31-35 arası,0,0
473,"TEKYETKİLİ,FENERYOLU ÖZGÜRLÜĞE KOMŞU,7 YILLIK,145M2,3+1+KİLER",Göztepe,6.600.000,105,145,3+1,3,1,2,29,6,6,,Kombi (Doğalgaz),6-10 arası,,
474,"CİTY, MERDİVENKÖY'DE,ŞEHİR HAST.KOMŞU,BALKONLU,GENİŞ,105M2,2+1",Merdivenköy,2.850.000,75,106,2+1,2,1,1,27,6,1,İkinci El,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,,
475,CİTY DEN ERENKÖY DE MERKEZİ KONUMDA MASRAFSIZ 160m2 3+1,Erenköy,5.650.000,120,160,3+1,3,1,3,20,10,3,İkinci El,Merkezi Sistem,26-30 arası,0,0
476,CİTY DEN ŞAŞKINBAKKAL DA BAĞDAT CAD. KOMŞU DEPREM SONRASI 160m2,Suadiye,8.575.000,120,160,3+1,3,1,2,20,8,3,İkinci El,Kombi (Doğalgaz),16-20 arası,0,0
477,"CITY'DEN SAHRAYICEDİD'DE  120M2,3+1 SIFIR DAİRE..",Merdivenköy,5.500.000,85,110,3+1,3,1,1,20,8,8,Sıfır,Kombi (Doğalgaz),0,0,0
478,"FENERYOLUNDA BAĞDATA 100MT MESAFEDE,ÖZGÜRLÜĞE KOMŞU, YENİ, 120M2",Feneryolu,6.600.000,85,120,2+1,2,1,2,20,10,4,Sıfır,Kombi (Doğalgaz),0,,
479,"CITY'DEN GÖZTEPE İSTASYON'A ADIM MEAFESİNDE 3 YILLIK 140M2,3+1..",Göztepe,6.575.000,100,140,3+1,3,1,2,20,10-20 arası,11,İkinci El,Kombi (Doğalgaz),3,0,0
480,CİTY DEN FENERBAHÇE AYANOĞLU CAD. SİNDE KATTA TEK 4 YILLIK 160m2,Fenerbahçe,13.950.000,125,160,3+1,3,1,2,19,10-20 arası,5,İkinci El,Kombi (Doğalgaz),4,0,0
481,"CADDEBOSTAN BAĞDAT'A ÜÇÜNCÜ APARTMAN 3+1,168M2 GENİŞ DAİRE..",Caddebostan,14.000.000,120,168,3+1,3,1,2,18,10-20 arası,13,Sıfır,Kombi (Doğalgaz),0,0,0
482,GÖZTEPE BAĞDATA KOMŞU 15 YAŞINDA GİYİNME ODALI 110M2 3+1,Göztepe,6.450.000,80,110,3+1,3,1,1,18,8,1,İkinci El,Yerden Isıtma,11-15 arası,500,0
483,CİTY'DEN FENERYOLU DA BAĞDAT CAD. 2.BİNA BALKONLU MİMARİ DEKORLU,Fenerbahçe,6.950.000,130,175,4+1,4,1,2,25,4,2,İkinci El,Kombi (Doğalgaz),31-35 arası,0,0
484,CİTY'DEN BAĞDATA YAKIN MİMARİ DEKORLU BALKONLU 215 M2 4+1,Suadiye,10.785.000,160,215,4+1,4,1,3,22,10-20 arası,2,İkinci El,Merkezi Sistem,31-35 arası,0,0
485,KOZYATAĞI ACIBADEM HAST. VE METRO İSTASYONUNA YAKIN KOMBİLİ 3+1,19 Mayıs,4.000.000,115,135,3+1,3,1,1,11,7,3,İkinci El,Kombi (Doğalgaz),31-35 arası,,
486,"BOSTANCI'DA YENİ PROJEDE, ULTRA LÜKS AKILLI EV 120 M2 3+1",Bostancı,6.500.000,95,120,3+1,3,1,2,30,10-20 arası,9,,Klima,2,250,0
487,"CİTY'DEN,BAĞDATA 2.BİNA ÇİFTEHAVUZLARDA,7 YILLIK,140M2,3+1+KİLER",Göztepe,7.700.000,100,140,3+1,3,1,2,31,7,5,,Kombi (Doğalgaz),6-10 arası,,
488,MERDİVENKÖY'de 3+1 ARAKAT SATILIK DAİRE,Merdivenköy,3.300.000,110,125,3+1,3,1,1,31,6,2,,Merkezi Sistem,31-35 arası,0,0
489,Erenköy EthemEfendi'de Net 80m2 Balkonlu Sıfır 2+1,Erenköy,6.150.000,80,110,2+1,2,1,2,25,10,9,Sıfır,Kombi (Doğalgaz),0,0,0
490,GÖZTEPEDE YENİ BİNA 150M2 BRUT SATILIK 3+1 DAİRE,Caddebostan,17.250.000,120,150,3+1,3,1,2,27,10-20 arası,6,,Klima,3,0,0
491,C.BOSTAN SAHİLDE SIFIR 310M2 DENİZ MANZARALI İSKANLI DUBLEKS,Caddebostan,22.500.000,250,310,4+2,4,2,4,31,10-20 arası,12,Sıfır,Kombi (Doğalgaz),1,,
492,Fenerbahçe Kalamış Wyndham Otel Yakın Güvenlikli Yüzme Havuzlu,Fenerbahçe,13.500.000,128,170,3+1,3,1,3,26,10-20 arası,9,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,0,0
493,ERENKÖY BAĞDAT MARMARAY ARASI 4 YAŞINDA EBEVEYNLİ 120M2 3+1,Erenköy,7.295.000,85,120,3+1,3,1,2,25,8,6,İkinci El,Kombi (Doğalgaz),4,0,0
494,KOZYATAĞI PRESTİJLİ KONUM VE ÖZELLİKDE 4+2 SATILIK DUBLEKS,Kozyatağı,9.900.000,195,240,4+2,4,2,2,31,10-20 arası,12,,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,0,0
495,CİTY DEN SUADİYE DE BAĞDAT CD. KOMŞU FULL YAPILI 3 BANYOLU 210m2,Suadiye,10.950.000,165,210,4+1,4,1,3,31,6,4,İkinci El,Merkezi Sistem,26-30 arası,0,0
496,CİTY DEN ERENKÖY DE BAĞDAT A 5 BİNADA 9 YILLIK SÜPER 140m2 3+1,Erenköy,10.950.000,105,140,3+1,3,1,2,21,9,4,İkinci El,Kombi (Doğalgaz),6-10 arası,0,0
497,"BOSTANCI'DA YENİ ULTRA LÜKS PROJEDE, DENİZ MANZARALI 120 M2 3+1",Bostancı,6.750.000,95,120,3+1,3,1,2,19,10-20 arası,12,,Klima,3,250,0
498,FENERYOLUNDA 3+1 FIRSAT DAİRE,Feneryolu,3.600.000,120,130,3+1,3,1,1,19,8,2,,Merkezi Sistem,31-35 arası,640,0
499,ÇİFTEHAVUZLAR'DA 155M2 2 BALKONLU ASANSÖRLÜ OTOPARKLI ULTRA LÜKS,Göztepe,7.395.000,120,150,3+1,3,1,2,18,6,6,İkinci El,Merkezi Sistem,26-30 arası,,
500,MERDİVENKÖY BROOKLYN PARKTA 4 YAŞINDA  EBEVEYNLİ 137M2 3+1,Merdivenköy,4.050.000,98,137,3+1,3,1,2,11,20 ve üzeri,3,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,1.000,0
501,GÖZTEPE'DE NEZİH BİR SOKAKTA SATILIK 3+1 DAİRE,Göztepe,4.925.000,105,125,3+1,3,1,1,17,7,7,,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,0,0
502,CİTY'DEN KALAMIŞ PARKINA YAKIN KAPANMAZ DENİZ MANZARALI 4+1,Fenerbahçe,18.500.000,160,205,4+1,4,1,4,16,3,3,Sıfır,Kombi (Doğalgaz),0,0,0
503,CİTY'DEN FENERYOLUNDA ÖZGÜRLÜK PARKINA ADIM MESAFEDE SIFIR 1+1,Feneryolu,4.100.000,45,65,1+1,1,1,1,16,10,10,Sıfır,Kombi (Doğalgaz),0,500,0
504,CİTY'DEN KALAMIŞ PARKINA YAKIN KAPANMAZ DENİZ MANZARALI 4+1,Fenerbahçe,18.500.000,160,205,4+1,4,1,4,16,3,3,Sıfır,Kombi (Doğalgaz),0,0,0
505,FENERBAHÇE'DE 6 YILLIK 145M2 EBEVEYN BANYOLU LÜKS TEK YETKİLİYİZ,Fenerbahçe,11.250.000,115,145,3+1,3,1,2,16,10-20 arası,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,
506,CİTY'DEN FENERYOLU'NDA SIFIR 200M2 3+2 BALKONLU,Feneryolu,8.500.000,150,200,3+2,3,2,2,9,7,7,Sıfır,Kombi (Doğalgaz),0,0,0
507,Fenerbahçe Ordu Evi Caddesi Denize Yakın Teraslı Dubleks Sıfır,Fenerbahçe,17.550.000,255,300,4+1,4,1,2,15,7,7,Sıfır,Kombi (Doğalgaz),2,0,0
508,Kadıköy Osmanağa Yoğurtcu Kavşağı Satılık 2+1 Ara Kat Daire,Osmanağa,4.350.000,80,115,2+1,2,1,1,36,5,4,,Kombi (Doğalgaz),31-35 arası,100,4.900
509,Merdivenköy'de Minibüs Caddesi'ne Yakın Satılık 3+1 Daire,Merdivenköy,4.950.000,80,105,3+1,3,1,1,13,10,3,İkinci El,Merkezi Sistem,5,390,0
510,DİNAMİK'TEN FENERYOLUN'DA CADDEYE YAKIN GENİŞ 4+1,Feneryolu,8.350.000,170,220,4+1,4,1,2,16,7,2,,Klima,6-10 arası,325,0
511,APPARTEMENT A VENDRE Excellence,Acıbadem,5.350.000,110,111,2+1,2,1,2,15,20 ve üzeri,,Sıfır,,0,,
512,SUADİYE SAHİLE YAKIN DENİZ MANZARALI 3+1 DAİRE,Suadiye,13.250.000,100,130,3+1,3,1,2,11,10-20 arası,6,,Klima,6-10 arası,0,0
